loan_id,customer_id,product,currency,sanctioned_amount,outstanding,interest_rate,tenure_months,start_date,status,days_past_due,collateral_value,limit_amount
LN100208F,100208,PERSONAL,INR,305021,121511,12.5,18,2024-08-23,CURRENT,0,0,305021
LN100166G,100166,HOME,INR,5681497,0,9.1,300,2021-12-17,CLOSED,0,6377173,5681497
LN100163H,100163,HOME,INR,6139897,0,9.1,240,2023-12-18,CLOSED,0,8861001,6139897
LN100123I,100123,PERSONAL,INR,290927,200760,14.7,18,2022-07-10,CURRENT,0,0,290927
LN100103J,100103,HOME,INR,3123676,0,9.6,240,2022-10-07,CLOSED,0,4140132,3123676
LN100114K,100114,HOME,INR,4237768,1678844,9.4,180,2021-11-29,CURRENT,0,5869667,4237768
LN100131L,100131,PERSONAL,INR,644223,373847,13.9,36,2025-02-23,CURRENT,0,0,644223
LN100135M,100135,HOME,INR,3157899,1750599,8.3,240,2025-04-24,CURRENT,0,4025801,3157899
LN100183N,100183,PERSONAL,INR,392230,243312,13.7,12,2022-04-13,CURRENT,0,0,392230
LN100140O,100140,PERSONAL,INR,502825,201842,13.9,18,2024-06-20,CURRENT,0,0,502825
LN100150P,100150,BUSINESS,INR,2867370,2094156,10.3,36,2025-02-23,CURRENT,0,1654789,2867370
LN100209Q,100209,PERSONAL,INR,428221,264144,11.8,12,2025-04-09,CURRENT,0,0,428221
LN100167R,100167,PERSONAL,INR,188943,129018,12.2,12,2023-04-16,CURRENT,0,0,188943
LN100117S,100117,HOME,INR,3251777,2823293,9.1,240,2021-01-26,CURRENT,0,4353380,3251777
LN100173T,100173,PERSONAL,INR,456637,431813,14.0,12,2022-05-13,CURRENT,0,0,456637
LN100109U,100109,PERSONAL,INR,227820,173608,12.1,36,2021-05-10,PAST_DUE,30,0,227820
LN100197V,100197,HOME,INR,5014504,3924048,9.5,300,2023-10-13,CURRENT,0,6240299,5014504
LN100217W,100217,PERSONAL,INR,162168,89083,12.6,18,2024-06-24,CURRENT,0,0,162168
LN100201X,100201,PERSONAL,INR,395549,342428,12.7,36,2024-05-02,CURRENT,0,0,395549
LN100147Y,100147,BUSINESS,INR,3489934,1889738,11.7,48,2025-02-14,CURRENT,0,2054938,3489934
LN100157Z,100157,PERSONAL,INR,564858,464042,12.6,18,2023-01-18,CURRENT,0,0,564858
LN100219A,100219,HOME,INR,7229920,4916775,9.1,180,2025-01-29,CURRENT,0,9530853,7229920
LN100119B,100119,PERSONAL,INR,792776,607029,13.0,18,2025-08-05,CURRENT,0,0,792776
LN100177C,100177,PERSONAL,INR,479016,240278,12.0,36,2021-11-12,CURRENT,0,0,479016
LN100216D,100216,PERSONAL,INR,445303,311421,13.1,12,2023-12-31,CURRENT,0,0,445303
LN100172E,100172,PERSONAL,INR,775309,438606,13.4,36,2025-07-22,CURRENT,0,0,775309
LN100149F,100149,PERSONAL,INR,139110,78319,14.2,12,2024-08-18,CURRENT,0,0,139110
LN100210G,100210,PERSONAL,INR,726364,601239,14.9,36,2021-08-05,CURRENT,0,0,726364
LN100146H,100146,HOME,INR,4670454,3246625,9.0,180,2023-07-02,CURRENT,0,6106707,4670454
LN100182I,100182,PERSONAL,INR,762565,0,12.7,18,2021-08-03,CLOSED,0,0,762565
LN100199J,100199,BUSINESS,INR,1520202,844989,12.9,36,2025-05-26,CURRENT,0,1315089,1520202
LN100130K,100130,PERSONAL,INR,556384,427335,13.2,24,2022-10-16,CURRENT,0,0,556384
LN100108L,100108,HOME,INR,2874828,0,8.2,120,2025-06-27,CLOSED,0,3556826,2874828
LN100116M,100116,BUSINESS,INR,2846090,1785160,11.9,48,2025-06-22,CURRENT,0,1894058,2846090
LN100104N,100104,BUSINESS,INR,2347293,0,12.2,48,2024-06-11,CLOSED,0,1680819,2347293
LN100156O,100156,PERSONAL,INR,521413,246873,12.9,36,2025-03-21,CURRENT,0,0,521413
LN100200P,100200,PERSONAL,INR,115602,65832,14.3,12,2022-02-08,CURRENT,0,0,115602
LN100186Q,100186,PERSONAL,INR,325097,230228,13.3,36,2024-06-05,CURRENT,0,0,325097
LN100141R,100141,PERSONAL,USD,28067,21712,13.7,36,2022-09-02,CURRENT,0,0,28067
LN100106S,100106,PERSONAL,INR,668836,329832,13.9,12,2021-08-28,CURRENT,0,0,668836
LN100193T,100193,BUSINESS,INR,1985801,916352,11.5,84,2024-07-25,CURRENT,0,1129789,1985801
LN100178U,100178,PERSONAL,INR,231649,211276,13.2,18,2024-06-22,PAST_DUE,30,0,231649
LN100100V,100100,HOME,INR,5511838,3786352,9.0,120,2024-08-30,CURRENT,0,6493228,5511838
LN100120W,100120,PERSONAL,INR,767956,493964,13.0,36,2021-06-19,CURRENT,0,0,767956
LN100203X,100203,PERSONAL,INR,281241,175024,11.6,24,2023-07-26,PAST_DUE,30,0,281241
LN100176Y,100176,PERSONAL,INR,569373,514719,13.5,12,2023-01-22,PAST_DUE,60,0,569373
LN100126Z,100126,PERSONAL,INR,512806,0,15.0,18,2025-08-27,CLOSED,0,0,512806
LN100170A,100170,PERSONAL,INR,309555,0,14.6,24,2022-06-23,CLOSED,0,0,309555
LN100142B,100142,PERSONAL,INR,141208,0,14.5,36,2025-07-21,CLOSED,0,0,141208
LN100161C,100161,PERSONAL,INR,666482,404488,14.5,24,2024-06-15,CURRENT,0,0,666482
LN100213D,100213,HOME,INR,4233251,2997626,9.5,180,2021-12-11,CURRENT,0,5621883,4233251
LN100128E,100128,BUSINESS,INR,3254797,2897072,12.0,60,2025-07-28,CURRENT,0,3177328,3254797
LN100138F,100138,HOME,INR,5952719,3913086,9.8,120,2024-12-27,PAST_DUE,15,8612507,5952719
LN100151G,100151,PERSONAL,INR,309579,158266,13.2,36,2023-04-29,CURRENT,0,0,309579
LN100181H,100181,PERSONAL,INR,129184,99061,12.9,12,2023-01-26,CURRENT,0,0,129184
LN100218I,100218,PERSONAL,INR,561751,482151,13.5,24,2021-07-10,CURRENT,0,0,561751
LN100121J,100121,PERSONAL,INR,746405,439356,14.5,24,2023-05-30,CURRENT,0,0,746405
LN100194K,100194,PERSONAL,INR,568746,385829,12.6,24,2021-09-25,CURRENT,0,0,568746
LN100148L,100148,PERSONAL,INR,410437,349701,11.7,12,2021-02-03,CURRENT,0,0,410437
LN100102M,100102,HOME,INR,3825261,3624115,8.9,300,2021-09-28,CURRENT,0,5725403,3825261
LN100160N,100160,PERSONAL,INR,366528,148811,14.6,18,2023-01-09,CURRENT,0,0,366528
LN100196O,100196,PERSONAL,INR,730432,573822,11.7,18,2025-03-27,CURRENT,0,0,730432
LN100124P,100124,PERSONAL,INR,737326,0,14.0,12,2023-09-04,CLOSED,0,0,737326
LN100113Q,100113,BUSINESS,INR,5157414,4862889,10.0,84,2023-05-15,CURRENT,0,4372448,5157414
LN100215R,100215,PERSONAL,INR,550905,0,12.3,12,2025-07-09,CLOSED,0,0,550905
LN100143S,100143,HOME,INR,5128582,4112582,9.6,240,2021-09-30,CURRENT,0,5922751,5128582
LN100137T,100137,PERSONAL,INR,121734,104769,13.6,12,2024-07-10,PAST_DUE,30,0,121734
LN100168U,100168,PERSONAL,INR,513873,0,11.8,18,2025-03-22,CLOSED,0,0,513873
LN100159V,100159,HOME,INR,5721493,4732743,9.7,240,2022-05-24,PAST_DUE,30,7013414,5721493
LN100158W,100158,PERSONAL,INR,679153,583212,14.2,24,2024-09-10,CURRENT,0,0,679153
LN100206X,100206,PERSONAL,INR,265425,101589,14.1,18,2025-06-14,CURRENT,0,0,265425
LN100105Y,100105,PERSONAL,INR,568927,401866,11.9,36,2023-12-18,CURRENT,0,0,568927
LN100153Z,100153,PERSONAL,INR,62653,45797,14.8,24,2024-01-24,PAST_DUE,60,0,62653
LN100139A,100139,PERSONAL,INR,126537,0,13.6,12,2022-03-18,CLOSED,0,0,126537
LN100129B,100129,HOME,INR,3007249,1802121,9.0,300,2024-12-08,CURRENT,0,4064081,3007249
LN100152C,100152,PERSONAL,INR,721652,473968,12.5,18,2022-02-21,CURRENT,0,0,721652
LN100175D,100175,PERSONAL,INR,212924,181137,12.9,24,2024-10-26,CURRENT,0,0,212924
LN100174E,100174,PERSONAL,INR,508737,0,11.7,18,2023-06-09,CLOSED,0,0,508737
